Op,M,K,N,Transpose A,Transpose B,TotalTime(us),MatmulTime(us),AllGatherTime(us),ŃÚ¸Ç¶Č
AllGatherMatmulDequantFixPipe,1794,3072,1536,0,0,415.1700952,339.4029167,357.9397917,0.831379459
AllGatherMatmulDequantFixPipe,1021,2048,4096,0,0,316.9854762,307.0699583,221.747375,0.955284621
AllGatherMatmulDequantFixPipe,1021,2560,4096,0,0,387.3407619,376.9559583,298.9870417,0.96526671
AllGatherMatmulDequantFixPipe,1021,3584,4096,0,0,528.1917143,517.59025,405.127625,0.973831791
AllGatherMatmulDequantFixPipe,1021,4096,10240,0,1,1415.816,1401.792542,556.8075,0.974814531
AllGatherMatmulDequantFixPipe,1021,8192,4096,0,1,1172.938,1139.882458,835.5084583,0.960436616
AllGatherMatmulDequantFixPipe,2042,2048,4096,0,0,608.7246667,597.22225,469.614,0.975506657
AllGatherMatmulDequantFixPipe,2042,2560,4096,0,0,750.4206667,735.0283333,579.5130833,0.973439196
AllGatherMatmulDequantFixPipe,2042,3584,4096,0,0,1034.874619,1009.929958,792.6067917,0.968528328
AllGatherMatmulDequantFixPipe,2042,4096,10240,0,1,2876.438333,2845.943417,832.5824583,0.963373098
AllGatherMatmulDequantFixPipe,2042,8192,4096,0,1,2317.455286,2244.458792,1702.749667,0.957130226
AllGatherMatmulDequantFixPipe,4084,2048,4096,0,0,1175.235429,1152.294958,788.979,0.970923851
AllGatherMatmulDequantFixPipe,4084,2560,4096,0,0,1459.801619,1433.4345,988.6269583,0.973329557
AllGatherMatmulDequantFixPipe,4084,3584,4096,0,0,2015.356286,1987.165167,1392.0985,0.979749192
AllGatherMatmulDequantFixPipe,4084,4096,10240,0,1,5659.70019,5616.8215,1517.017708,0.971734878
AllGatherMatmulDequantFixPipe,4084,8192,4096,0,1,4556.10681,4477.664042,3183.468542,0.975359339
AllGatherMatmulDequantFixPipe,128,1280,10240,0,1,81.62442857,73.566875,24.34316667,0.669001421
AllGatherMatmulDequantFixPipe,128,1408,11264,0,1,93.10147619,87.57616667,25.754125,0.785459241
AllGatherMatmulDequantFixPipe,128,3584,1024,0,1,59.21809524,37.58795833,40.56495833,0.503747005
AllGatherMatmulDequantFixPipe,128,5120,640,0,1,74.74780952,36.20220833,59.332625,0.574192149
AllGatherMatmulDequantFixPipe,128,8192,4096,0,1,197.1166667,151.4390833,71.67270833,0.362692098
AllGatherMatmulDequantFixPipe,128,8192,8192,0,1,317.461,289.5025,71.60420833,0.609541106
AllGatherMatmulDequantFixPipe,128,10240,3840,0,1,254.8463333,178.85825,109.5340417,0.306260573
AllGatherMatmulDequantFixPipe,128,11264,1664,0,1,190.4611905,124.3182917,106.6889583,0.380039886
AllGatherMatmulDequantFixPipe,128,13664,5120,0,1,362.4770476,307.856,110.5391667,0.505867022
AllGatherMatmulDequantFixPipe,128,32768,1024,0,1,427.102381,272.4699583,239.618625,0.354672773
AllGatherMatmulDequantFixPipe,160,4096,8192,0,1,278.4364286,269.517,50.998125,0.825102813
AllGatherMatmulDequantFixPipe,256,640,640,0,1,32.62114286,16.95091667,28.50666667,0.757271169
AllGatherMatmulDequantFixPipe,256,1024,8192,0,1,95.62638095,89.60116667,37.4065,0.838926008
AllGatherMatmulDequantFixPipe,256,1280,10240,0,1,145.5932857,140.5702083,45.97370833,0.890740217
AllGatherMatmulDequantFixPipe,256,1792,14336,0,1,260.195,254.1576667,67.02325,0.909921806
AllGatherMatmulDequantFixPipe,256,2048,8192,0,1,165.9176667,159.32125,51.905625,0.872915186
AllGatherMatmulDequantFixPipe,256,2752,8192,0,1,240.9805714,228.9312917,56.10504167,0.785237131
AllGatherMatmulDequantFixPipe,256,8192,8192,0,1,588.4148095,571.1267917,136.2482083,0.873113797
AllGatherMatmulDequantFixPipe,256,10240,1280,0,1,220.9687619,130.4028333,172.127,0.625454749
AllGatherMatmulDequantFixPipe,256,10240,3840,0,1,403.9617143,349.2234583,185.6937083,0.705222883
AllGatherMatmulDequantFixPipe,256,14336,5376,0,1,756.7811429,650.7297917,264.3592083,0.598836175
AllGatherMatmulDequantFixPipe,320,2816,41216,0,1,1677.816381,1397.529708,366.600375,0.235443573
AllGatherMatmulDequantFixPipe,320,28672,256,0,1,563.2637143,173.0235417,527.6791667,0.79433696
AllGatherMatmulDequantFixPipe,428,8192,3424,0,1,524.4915714,475.0801667,255.42125,0.806549358
AllGatherMatmulDequantFixPipe,448,768,1280,0,1,52.03861905,39.04304167,43.44170833,0.779809401
AllGatherMatmulDequantFixPipe,448,1024,1024,0,1,55.35214286,30.94920833,46.29595833,0.707385584
AllGatherMatmulDequantFixPipe,448,4096,1024,0,1,151.3947143,80.22983333,120.183,0.610971219
AllGatherMatmulDequantFixPipe,448,4096,8192,0,1,558.2039524,540.9399583,119.7863333,0.855876763
AllGatherMatmulDequantFixPipe,448,45056,4608,0,1,4350.97619,4198.137125,1101.572792,0.861253776
AllGatherMatmulDequantFixPipe,512,1024,8192,0,1,173.8742857,170.3843333,84.65270833,0.958773293
AllGatherMatmulDequantFixPipe,512,1792,14336,0,1,510.403,503.7160833,113.01425,0.940831208
AllGatherMatmulDequantFixPipe,512,3072,4096,0,1,240.9282381,227.9536667,122.364,0.893967414
AllGatherMatmulDequantFixPipe,512,3584,1024,0,1,148.5897619,72.80595833,120.3014167,0.61145563
AllGatherMatmulDequantFixPipe,512,4096,1024,0,1,166.8823333,82.339,133.6837083,0.596805584
AllGatherMatmulDequantFixPipe,512,5120,640,0,1,194.2147619,71.04766667,169.1876667,0.647742194
AllGatherMatmulDequantFixPipe,512,8192,7168,0,1,981.3805238,958.419,263.3899583,0.912823086
AllGatherMatmulDequantFixPipe,512,11008,4096,0,1,815.0785238,787.8115833,340.1337083,0.919834642
AllGatherMatmulDequantFixPipe,512,14336,1792,0,1,548.1598095,483.259625,443.89075,0.853792438
AllGatherMatmulDequantFixPipe,512,15360,5120,0,1,1326.303286,1300.448667,651.4982083,0.960315134
AllGatherMatmulDequantFixPipe,512,16384,13696,0,1,4209.590143,3661.389375,1040.994125,0.47338726
AllGatherMatmulDequantFixPipe,512,17152,13056,0,1,4065.087048,3545.535875,1041.889958,0.501337767
AllGatherMatmulDequantFixPipe,640,2048,10240,0,1,447.9302857,443.5442083,158.578625,0.972341308
AllGatherMatmulDequantFixPipe,640,3840,18432,0,1,1597.378333,1573.973292,226.366,0.896605316
AllGatherMatmulDequantFixPipe,640,8192,1280,0,1,370.2719524,243.4762917,329.8722917,0.83407148
AllGatherMatmulDequantFixPipe,640,8192,5120,0,1,863.7500476,843.0612917,447.8351667,0.953802744
AllGatherMatmulDequantFixPipe,640,16384,1696,0,1,962.6471429,710.7125417,624.950875,0.596872952
AllGatherMatmulDequantFixPipe,640,32256,7936,0,1,5688.891048,5087.903833,1764.75425,0.659449912
AllGatherMatmulDequantFixPipe,672,2048,14336,0,1,731.6483333,726.5685417,160.8937917,0.968427672
AllGatherMatmulDequantFixPipe,683,6144,8192,0,1,1209.268095,1196.265875,385.0556667,0.966232882
AllGatherMatmulDequantFixPipe,768,3840,18432,0,1,1968.266143,1937.063917,308.882,0.898983346
AllGatherMatmulDequantFixPipe,768,6144,8192,0,1,1247.459048,1234.793625,429.0564583,0.970480754
AllGatherMatmulDequantFixPipe,768,16384,1696,0,1,1045.51719,785.5537917,737.1235,0.647327214
AllGatherMatmulDequantFixPipe,832,2048,17920,0,1,1089.572429,1080.64575,173.892,0.948665384
AllGatherMatmulDequantFixPipe,864,4096,12288,0,1,1497.082286,1464.727208,478.696125,0.932409986
AllGatherMatmulDequantFixPipe,864,12288,4096,0,1,1514.996667,1468.602,1061.467958,0.956291976
AllGatherMatmulDequantFixPipe,1024,1280,8192,0,1,437.2850476,434.5169167,154.445875,0.982077016
AllGatherMatmulDequantFixPipe,1024,1536,6144,0,1,340.7423333,334.4250417,186.0961667,0.966053618
AllGatherMatmulDequantFixPipe,1024,3840,5120,0,1,695.8628571,684.2819167,416.685,0.972206966
AllGatherMatmulDequantFixPipe,1024,6656,4480,0,1,1025.286429,941.9539583,618.9454167,0.865363781
AllGatherMatmulDequantFixPipe,1024,6656,4992,0,1,1102.574381,1026.576708,624.2991667,0.87826722
AllGatherMatmulDequantFixPipe,1024,7808,12288,0,1,3518.303333,3470.390875,819.7725,0.941553958
AllGatherMatmulDequantFixPipe,1024,11008,4096,0,1,1581.247714,1556.784333,1128.260208,0.978317607
AllGatherMatmulDequantFixPipe,1024,12288,1536,0,1,857.724,693.250875,706.6131667,0.782025759
AllGatherMatmulDequantFixPipe,1024,12288,3904,0,1,1739.833238,1679.474875,1093.029708,0.944778845
AllGatherMatmulDequantFixPipe,1024,12288,4608,0,1,1914.085762,1832.013417,1050.187208,0.921849796
AllGatherMatmulDequantFixPipe,1024,16384,1024,0,1,1042.737048,754.5162083,956.8349167,0.886149389
AllGatherMatmulDequantFixPipe,1216,23296,9472,0,1,8896.616619,8389.944,3015.980917,0.832004037
AllGatherMatmulDequantFixPipe,1280,128,16,0,1,35.29090476,14.73416667,30.2635,0.658792732
AllGatherMatmulDequantFixPipe,1280,2048,1280,0,1,203.1295238,120.333875,172.4128333,0.744737793
AllGatherMatmulDequantFixPipe,1280,2048,5120,0,1,454.8328571,444.5241667,287.0055,0.964081906
AllGatherMatmulDequantFixPipe,1344,17152,7168,0,1,6130.26919,6073.195375,1259.977292,0.954702505
AllGatherMatmulDequantFixPipe,1354,6144,1408,0,1,566.8971905,384.672125,509.2213333,0.85006489
AllGatherMatmulDequantFixPipe,1536,6912,4096,0,1,1499.191762,1468.205583,1107.59725,0.972023965
AllGatherMatmulDequantFixPipe,1536,8192,1536,0,1,824.7762381,689.013875,720.1373333,0.848132369
AllGatherMatmulDequantFixPipe,1664,9984,10752,0,1,6229.821571,6195.911375,3792.842583,0.991059424
AllGatherMatmulDequantFixPipe,1664,15616,8192,0,1,7484.219762,7314.963708,2494.133042,0.932138322
AllGatherMatmulDequantFixPipe,1792,9984,10752,0,1,6672.171524,6576.279167,1544.606792,0.937917949
AllGatherMatmulDequantFixPipe,1920,2816,13056,0,1,2349.820857,2267.969458,851.728625,0.903899673
AllGatherMatmulDequantFixPipe,1984,12544,6656,0,1,6052.613524,5927.861833,1694.18075,0.926364592
AllGatherMatmulDequantFixPipe,2036,5120,1696,0,1,891.3243333,703.83975,629.36025,0.702102916
AllGatherMatmulDequantFixPipe,2048,1,16,0,1,49.42614286,25.67145833,34.88629167,0.433618028
AllGatherMatmulDequantFixPipe,2048,1024,8192,0,1,633.1855714,631.2595,220.233875,0.991254427
AllGatherMatmulDequantFixPipe,2048,1376,4096,0,1,481.7202381,463.4319167,308.4784167,0.940714421
AllGatherMatmulDequantFixPipe,2048,1708,5120,0,1,794.7645714,746.05025,366.9769583,0.867255095
AllGatherMatmulDequantFixPipe,2048,4096,27392,0,1,7306.648857,7067.588333,1078.510583,0.778341977
AllGatherMatmulDequantFixPipe,2048,5120,5120,0,1,1760.267048,1736.7765,1110.891625,0.97885433
AllGatherMatmulDequantFixPipe,2048,5504,8192,0,1,3152.329952,3133.217333,1502.346792,0.987278158
AllGatherMatmulDequantFixPipe,2048,6656,6656,0,1,3061.047762,3050.623875,1350.994417,0.992284286
AllGatherMatmulDequantFixPipe,2048,6912,4096,0,1,1990.72319,1967.784792,1472.71825,0.984424449
AllGatherMatmulDequantFixPipe,2048,8192,1024,0,1,1021.416571,585.3910417,953.8339167,0.884551267
AllGatherMatmulDequantFixPipe,2048,12544,6656,0,1,6133.137286,6009.479792,2628.790208,0.952960303
AllGatherMatmulDequantFixPipe,2048,27392,4096,0,1,9013.277524,8462.972792,3034.093708,0.818626323
AllGatherMatmulDequantFixPipe,2240,2048,6656,0,1,1080.564333,1060.041833,468.9671667,0.956238941
AllGatherMatmulDequantFixPipe,2816,677,256,0,1,197.465381,40.49483333,189.8788333,0.812653934
AllGatherMatmulDequantFixPipe,2955,4096,4096,0,1,1715.366048,1679.823292,1148.20475,0.969044932
AllGatherMatmulDequantFixPipe,2955,4096,12288,0,1,5043.966333,5017.238625,1252.311708,0.978657304
AllGatherMatmulDequantFixPipe,2955,4096,16384,0,1,6771.739667,6721.53975,1473.8585,0.965939799
AllGatherMatmulDequantFixPipe,2955,12288,4096,0,1,5293.949905,5290.07675,3602.455375,0.998924857
AllGatherMatmulDequantFixPipe,2955,16384,4096,0,1,7269.843571,7096.649167,5173.845417,0.966525014
AllGatherMatmulDequantFixPipe,3072,17920,6656,0,1,12934.8239,12542.63154,2989.809375,0.868823624
AllGatherMatmulDequantFixPipe,3584,128,16,0,1,64.36414286,28.03245833,57.15179167,0.742714281
AllGatherMatmulDequantFixPipe,3840,512,6144,0,1,541.4994286,541.1075417,293.90525,0.998666622
AllGatherMatmulDequantFixPipe,4096,128,128,0,1,63.888,15.16675,62.64629167,0.918129571
AllGatherMatmulDequantFixPipe,4096,1024,1024,0,1,307.0793333,172.3761667,282.8935417,0.859691789
AllGatherMatmulDequantFixPipe,4096,2560,5120,0,1,1812.038,1809.933958,985.26575,0.997864493
AllGatherMatmulDequantFixPipe,4096,3424,8192,0,1,4251.293429,4123.44225,1458.839167,0.912361018
AllGatherMatmulDequantFixPipe,4096,4096,16,0,1,984.4209048,180.775,959.3525,0.861328144
AllGatherMatmulDequantFixPipe,4096,4096,8192,0,1,4475.648333,4397.630542,2470.529958,0.968420625
AllGatherMatmulDequantFixPipe,4096,5120,640,0,1,1241.638762,456.4298333,1186.870417,0.880007088
AllGatherMatmulDequantFixPipe,4096,5120,2560,0,1,1911.332524,1714.718625,1229.165333,0.840042756
AllGatherMatmulDequantFixPipe,4096,5504,8192,0,1,6304.111333,6251.347583,3542.528333,0.985105624
AllGatherMatmulDequantFixPipe,4096,8192,1024,0,1,1974.874571,1148.342083,1900.305667,0.935063858
AllGatherMatmulDequantFixPipe,4096,8192,1280,0,1,2008.735952,1272.353917,1859.227417,0.882494538
AllGatherMatmulDequantFixPipe,4096,8192,2752,0,1,3359.537905,3134.179833,2980.374583,0.924385991
AllGatherMatmulDequantFixPipe,4096,8192,3072,0,1,3589.704429,3506.296542,2944.75,0.971675732
AllGatherMatmulDequantFixPipe,4096,8192,4096,0,1,4520.076143,4487.179,3689.197167,0.991082845
AllGatherMatmulDequantFixPipe,16384,128,128,0,1,197.2557143,34.31045833,193.1399167,0.880042477
AllGatherMatmulDequantFixPipe,16384,128,1024,0,1,295.1432381,247.5430417,253.6094167,0.832215759
AllGatherMatmulDequantFixPipe,16384,1024,128,0,1,1121.985095,115.0567917,1107.083083,0.870481249
AllGatherMatmulDequantFixPipe,16384,8192,3072,0,1,14678.06729,14352.01875,12362.87333,0.973626799
AllGatherMatmulDequantFixPipe,24000,50,3840,0,1,1521.963762,1587.205083,668.2442083,1.097630956
AllGatherMatmulDequantFixPipe,24640,77,2560,0,1,1195.808952,1141.565125,557.7776667,0.902750092
AllGatherMatmulDequantFixPipe,65536,128,128,0,1,746.3786667,108.7622083,738.3867083,0.926518976
